txn_id,date,account_id,description,amount,type,category,mode,balance,raw_text,source
TXN95274076394,2024-05-31,ACC100000,NETBANKING Uber Ref:505906,-890.87,DEBIT,Travel,NETBANKING,219186.89,2024-05-31 NETBANKING Uber Ref:505906 -890.87,synthetic
TXN95669083951,2024-05-31,ACC100000,UPI/timothy75280/NEFT Transfer Ref:327599,-127659.35,DEBIT,Transfer,UPI,91527.54,2024-05-31 UPI/timothy75280/NEFT Transfer Ref:327599 -127659.35,synthetic
TXN96207092644,2024-05-31,ACC100000,Upi/Knayar8987/Upi Transfer Ref:151838,-49183.8,DEBIT,Transfer,UPI,42343.74,2024-05-31 Upi/Knayar8987/Upi Transfer Ref:151838 -49183.8,synthetic
TXN90552001117,2024-06-01,ACC100000,EMI EMI SBI Ref:62928,-10287.88,DEBIT,EMI,NEFT,32055.86,2024-06-01 EMI EMI SBI Ref:62928 -10287.88,synthetic
TXN94240058773,2024-06-01,ACC100000,POS AJIO Anantapur,-217.23,DEBIT,Shopping,POS,31838.63,2024-06-01 POS AJIO Anantapur -217.23,synthetic
TXN90508000052,2024-06-02,ACC100000,SALARY CREDIT INFOSYS Ref:52622,56023.42,CREDIT,Salary,CREDIT,87862.05,2024-06-02 SALARY CREDIT INFOSYS Ref:52622 56023.42,synthetic
TXN90813006215,2024-06-02,ACC100000,SALARY CREDIT WIPRO Ref:99036,49033.43,CREDIT,Salary,NEFT,136895.48,2024-06-02 SALARY CREDIT WIPRO Ref:99036 49033.43,synthetic
TXN91339015619,2024-06-02,ACC100000,UPI/dhaliwalomisha6263/Cafe Coffee Day Ref:167931,-155.41,DEBIT,Food & Dining,UPI,136740.07,2024-06-02 UPI/dhaliwalomisha6263/Cafe Coffee Day Ref:167931 -155.41,synthetic
TXN91422016683,2024-06-02,ACC100000,POS Cafe Coffee Day Salem,-514.17,DEBIT,Food & Dining,POS,136225.9,2024-06-02 POS Cafe Coffee Day Salem -514.17,synthetic
TXN93175042047,2024-06-02,ACC100000,Netbanking Dmart Ref:403655,-1966.18,DEBIT,Groceries,NETBANKING,134259.72,2024-06-02 Netbanking Dmart Ref:403655 -1966.18,synthetic
TXN94442062461,2024-06-02,ACC100000,NETBANKING Jio Ref:582214,-905.96,DEBIT,Bills,NETBANKING,133353.76,2024-06-02 NETBANKING Jio Ref:582214 -905.96,synthetic
TXN90639002671,2024-06-03,ACC100000,SALARY CREDIT Company Payroll Ref:32736,114331.38,CREDIT,Salary,NEFT,247685.14,2024-06-03 SALARY CREDIT Company Payroll Ref:32736 114331.38,synthetic
TXN90750004765,2024-06-03,ACC100000,SALARY CREDIT WIPRO Ref:56671,70385.22,CREDIT,Salary,CREDIT,318070.36,2024-06-03 SALARY CREDIT WIPRO Ref:56671 70385.22,synthetic
TXN91713020989,2024-06-03,ACC100000,UPI/nitarasankar3568/McDonalds Ref:261783,-1314.54,DEBIT,Food & Dining,UPI,316755.82,2024-06-03 UPI/nitarasankar3568/McDonalds Ref:261783 -1314.54,synthetic
TXN92775036036,2024-06-03,ACC100000,UPI/daniel57581/More Supermarket Ref:523731,-2620.47,DEBIT,Groceries,UPI,314135.35,2024-06-03 UPI/daniel57581/More Supermarket Ref:523731 -2620.47,synthetic
TXN90920008193,2024-06-04,ACC100000,SALARY CREDIT WIPRO Ref:20655,123412.07,CREDIT,Salary,NEFT,437547.42,2024-06-04 SALARY CREDIT WIPRO Ref:20655 123412.07,synthetic
TXN91193012879,2024-06-04,ACC100000,NEFT House Rent Ref:653343,-13590.13,DEBIT,Rent,NEFT,423957.29,2024-06-04 NEFT House Rent Ref:653343 -13590.13,synthetic
TXN91940024387,2024-06-04,ACC100000,POS McDonalds Guna,-817.44,DEBIT,Food & Dining,POS,423139.85,2024-06-04 POS McDonalds Guna -817.44,synthetic
TXN93206042421,2024-06-04,ACC100000,UPI/tristanparmer5895/Spencer's Ref:372296,-1176.62,DEBIT,Groceries,UPI,421963.23,2024-06-04 UPI/tristanparmer5895/Spencer's Ref:372296 -1176.62,synthetic
TXN94001054285,2024-06-04,ACC100000,POS Myntra Bathinda,-5847.23,DEBIT,Shopping,POS,416116.0,2024-06-04 POS Myntra Bathinda -5847.23,synthetic
TXN94214058115,2024-06-04,ACC100000,POS Ajio Mira-Bhayandar,-28220.61,DEBIT,Shopping,POS,387895.39,2024-06-04 POS Ajio Mira-Bhayandar -28220.61,synthetic
TXN94637066321,2024-06-04,ACC100000,Electricity  Board delectus,-9363.0,DEBIT,Bills,ECS,378532.39,2024-06-04 Electricity  Board delectus -9363.0,synthetic
TXN96294094232,2024-06-04,ACC100000,POS HP Petrol Pump Jamalpur,-1053.63,DEBIT,Fuel,POS,377478.76,2024-06-04 POS HP Petrol Pump Jamalpur -1053.63,synthetic
TXN96456097242,2024-06-04,ACC100000,ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,-483.26,DEBIT,Cash,ATM,376995.5,2024-06-04 ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL -483.26,synthetic
TXN91033010189,2024-06-05,ACC100000,Neft House Ren tRef:734486,-9231.25,DEBIT,Rent,NEFT,367764.25,2024-06-05 Neft House Ren tRef:734486 -9231.25,synthetic
TXN91463017188,2024-06-05,ACC100000,UPI/dyalojasvi6682/McDonalds Ref:814518,-463.89,DEBIT,Food & Dining,UPI,367300.36,2024-06-05 UPI/dyalojasvi6682/McDonalds Ref:814518 -463.89,synthetic
TXN92732035527,2024-06-05,ACC100000,UPI/odika951300/BigBasket Ref:373414,-1859.71,DEBIT,Groceries,UPI,365440.65,2024-06-05 UPI/odika951300/BigBasket Ref:373414 -1859.71,synthetic
TXN95573082205,2024-06-05,ACC100000,EM1 Loan iste,-13354.33,DEBIT,EMI,ECS,352086.32,2024-06-05 EM1 Loan iste -13354.33,synthetic
TXN96392095959,2024-06-05,ACC100000,POS IndianOil Bihar Sharif,-3203.83,DEBIT,Fuel,POS,348882.49,2024-06-05 POS IndianOil Bihar Sharif -3203.83,synthetic
TXN93043040010,2024-06-06,ACC100000,NETBANKING More Supermarket Ref:111241,-390.54,DEBIT,Groceries,NETBANKING,348491.95,2024-06-06 NETBANKING More Supermarket Ref:111241 -390.54,synthetic
TXN93807051213,2024-06-06,ACC100000,UPI/subramaniantanveer5040/Amazon Ref:497099,-14473.18,DEBIT,Shopping,UPI,334018.77,2024-06-06 UPI/subramaniantanveer5040/Amazon Ref:497099 -14473.18,synthetic
TXN94753068273,2024-06-06,ACC100000,Airtel ullam,-5544.58,DEBIT,Bills,ECS,328474.19,2024-06-06 Airtel ullam -5544.58,synthetic
TXN96376095839,2024-06-06,ACC100000,POS Bharat Petroleum Sambhal,-4878.34,DEBIT,Fuel,POS,323595.85,2024-06-06 POS Bharat Petroleum Sambhal -4878.34,synthetic
TXN91161012264,2024-06-07,ACC100000,IMPS Apartment Rent Ref:416638,-27822.13,DEBIT,Rent,IMPS,295773.72,2024-06-07 IMPS Apartment Rent Ref:416638 -27822.13,synthetic
TXN91755021707,2024-06-07,ACC100000,UPI/ilad5743/Zomato Ref:339396,-1053.29,DEBIT,Food & Dining,UPI,294720.43,2024-06-07 UPI/ilad5743/Zomato Ref:339396 -1053.29,synthetic
TXN93050040116,2024-06-08,ACC100000,NETBANKING More Supermarket Ref:679878,-3215.52,DEBIT,Groceries,NETBANKING,291504.91,2024-06-08 NETBANKING More Supermarket Ref:679878 -3215.52,synthetic
TXN95858087093,2024-06-08,ACC100000,UPI/abrar5483/IMPS Transfer Ref:621476,-70493.06,DEBIT,Transfer,UPI,221011.85,2024-06-08 UPI/abrar5483/IMPS Transfer Ref:621476 -70493.06,synthetic
TXN96424096578,2024-06-08,ACC100000,POS HP Petrol Pump Solapur,-4433.65,DEBIT,Fuel,POS,216578.2,2024-06-08 POS HP Petrol Pump Solapur -4433.65,synthetic
TXN90535000643,2024-06-09,ACC100000,RENT PAYMENT Accomm Rent,-9192.74,DEBIT,Rent,NEFT,207385.46,2024-06-09 RENT PAYMENT Accomm Rent -9192.74,synthetic
TXN92512032493,2024-06-09,ACC100000,UPI/uwali9986/Spencer's Ref:433872,-467.07,DEBIT,Groceries,UPI,206918.39,2024-06-09 UPI/uwali9986/Spencer's Ref:433872 -467.07,synthetic
TXN95065073137,2024-06-09,ACC100000,UPI/aarnaloyal7289/Ola Ref:633745,-268.0,DEBIT,Travel,UPI,206650.39,2024-06-09 UPI/aarnaloyal7289/Ola Ref:633745 -268.0,synthetic
TXN92246028835,2024-06-10,ACC100000,UPI/mangatvaishnavi6670/Zomato Ref:539054,-1455.54,DEBIT,Food & Dining,UPI,205194.85,2024-06-10 UPI/mangatvaishnavi6670/Zomato Ref:539054 -1455.54,synthetic
TXN92461031824,2024-06-10,ACC100000,POS BigBasket Nashik,-770.96,DEBIT,Groceries,POS,204423.89,2024-06-10 POS BigBasket Nashik -770.96,synthetic
TXN96440097003,2024-06-10,ACC100000,ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,-4089.19,DEBIT,Cash,ATM,200334.7,2024-06-10 ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL -4089.19,synthetic
TXN94649066426,2024-06-11,ACC100000,Jio placeat,-6426.07,DEBIT,Bills,ECS,193908.63,2024-06-11 Jio placeat -6426.07,synthetic
TXN95028072554,2024-06-11,ACC100000,UPI/kumaroliver6272/Uber Ref:739094,-8475.54,DEBIT,Travel,UPI,185433.09,2024-06-11 UPI/kumaroliver6272/Uber Ref:739094 -8475.54,synthetic
TXN92461031817,2024-06-12,ACC100000,NETBANKING More Supermarket Ref:907441,-1254.84,DEBIT,Groceries,NETBANKING,184178.25,2024-06-12 NETBANKING More Supermarket Ref:907441 -1254.84,synthetic
TXN93015039556,2024-06-12,ACC100000,UPI/GUPTACHANDRAN1113/MORE SUPERMARKET REF:724789,-1720.9,DEBIT,Groceries,UPI,182457.35,2024-06-12 UPI/GUPTACHANDRAN1113/MORE SUPERMARKET REF:724789 -1720.9,synthetic
TXN94792068988,2024-06-12,ACC100000,UPI/orindersarma8383/BSNL Ref:653985,-4969.67,DEBIT,Bills,UPI,177487.68,2024-06-12 UPI/orindersarma8383/BSNL Ref:653985 -4969.67,synthetic
TXN94826069546,2024-06-12,ACC100000,UPI/chasmumchawla5401/IndiGo Ref:119487,-1082.04,DEBIT,Travel,UPI,176405.64,2024-06-12 UPI/chasmumchawla5401/IndiGo Ref:119487 -1082.04,synthetic
TXN95410078802,2024-06-12,ACC100000,EMI SBI sequi,-8637.04,DEBIT,EMI,ECS,167768.6,2024-06-12 EMI SBI sequi -8637.04,synthetic
TXN96521098760,2024-06-12,ACC100000,ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,-1745.52,DEBIT,Cash,ATM,166023.08,2024-06-12 ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL -1745.52,synthetic
TXN92141027207,2024-06-13,ACC100000,UPI/jkala2509/Cafe Coffee Day Ref:203590,-1362.19,DEBIT,Food & Dining,UPI,164660.89,2024-06-13 UPI/jkala2509/Cafe Coffee Day Ref:203590 -1362.19,synthetic
TXN92455031724,2024-06-13,ACC100000,UPI/riathakur5561/Spencer's Ref:953624,-349.47,DEBIT,Groceries,UPI,164311.42,2024-06-13 UPI/riathakur5561/Spencer's Ref:953624 -349.47,synthetic
TXN92634034136,2024-06-13,ACC100000,UPI/chanakyatoor1246/DMart Ref:716077,-486.54,DEBIT,Groceries,UPI,163824.88,2024-06-13 UPI/chanakyatoor1246/DMart Ref:716077 -486.54,synthetic
TXN94767068524,2024-06-13,ACC100000,BSNL tenetur,-3873.68,DEBIT,Bills,ECS,159951.2,2024-06-13 BSNL tenetur -3873.68,synthetic
TXN96488098318,2024-06-13,ACC100000,ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,-3042.9,DEBIT,Cash,ATM,156908.3,2024-06-13 ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL -3042.9,synthetic
TXN93153041624,2024-06-14,ACC100000,UPI/qdhar7836/More Supermarket Ref:778128,-1207.7,DEBIT,Groceries,UPI,155700.6,2024-06-14 UPI/qdhar7836/More Supermarket Ref:778128 -1207.7,synthetic
TXN94051055217,2024-06-14,ACC100000,Pos Myntra Madurai,-6846.22,DEBIT,Shopping,POS,148854.38,2024-06-14 Pos Myntra Madurai -6846.22,synthetic
TXN95705084586,2024-06-14,ACC100000,UP1/robertchahal5021/UP1 Transfer Ref:110059,153720.86,CREDIT,Transfer,UPI,302575.24,2024-06-14 UP1/robertchahal5021/UP1 Transfer Ref:110059 153720.86,synthetic
TXN90988009385,2024-06-15,ACC100000,ACCOMM RENT PARIATUR,-22238.64,DEBIT,Rent,ECS,280336.6,2024-06-15 ACCOMM RENT PARIATUR -22238.64,synthetic
TXN94979071803,2024-06-15,ACC100000,Pos Goair Berhampur,-9953.28,DEBIT,Travel,POS,270383.32,2024-06-15 Pos Goair Berhampur -9953.28,synthetic
TXN91606019381,2024-06-16,ACC100000,UPI/rajuhamsini3120/McDonalds Ref:296254,-1054.87,DEBIT,Food & Dining,UPI,269328.45,2024-06-16 UPI/rajuhamsini3120/McDonalds Ref:296254 -1054.87,synthetic
TXN94757068347,2024-06-16,ACC100000,NETBANKING Electricity Board Ref:987139,-3812.9,DEBIT,Bills,NETBANKING,265515.55,2024-06-16 NETBANKING Electricity Board Ref:987139 -3812.9,synthetic
TXN95589082668,2024-06-16,ACC100000,EMI Loan magnam,-17370.53,DEBIT,EMI,ECS,248145.02,2024-06-16 EMI Loan magnam -17370.53,synthetic
TXN96298094293,2024-06-16,ACC100000,POS IndianOil Aizawl,-404.32,DEBIT,Fuel,POS,247740.7,2024-06-16 POS IndianOil Aizawl -404.32,synthetic
TXN91232013692,2024-06-17,ACC100000,IMPS Apratment Rent Ref:482166,-18073.05,DEBIT,Rent,IMPS,229667.65,2024-06-17 IMPS Apratment Rent Ref:482166 -18073.05,synthetic
TXN93043039996,2024-06-17,ACC100000,POS More Supermarket Suryapet,-2344.69,DEBIT,Groceries,POS,227322.96,2024-06-17 POS More Supermarket Suryapet -2344.69,synthetic
TXN94789068929,2024-06-17,ACC100000,Jio velit,-5377.01,DEBIT,Bills,ECS,221945.95,2024-06-17 Jio velit -5377.01,synthetic
TXN95068073195,2024-06-17,ACC100000,POS GoAir Yamunanagar,-2235.8,DEBIT,Travel,POS,219710.15,2024-06-17 POS GoAir Yamunanagar -2235.8,synthetic
TXN95617083083,2024-06-17,ACC100000,UPI/HEMANI37265/IMPS TRANSFER REF:200411,-145977.05,DEBIT,Transfer,UPI,73733.1,2024-06-17 UPI/HEMANI37265/IMPS TRANSFER REF:200411 -145977.05,synthetic
TXN96509098412,2024-06-17,ACC100000,ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,-3074.78,DEBIT,Cash,ATM,70658.32,2024-06-17 ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL -3074.78,synthetic
TXN94070055500,2024-06-18,ACC100000,Netbanking Ajio Ref:407037,-42869.99,DEBIT,Shopping,NETBANKING,27788.33,2024-06-18 Netbanking Ajio Ref:407037 -42869.99,synthetic
TXN90813006119,2024-06-19,ACC100000,SALARY CREDIT TCS Ref:22368,49348.97,CREDIT,Salary,NEFT,77137.3,2024-06-19 SALARY CREDIT TCS Ref:22368 49348.97,synthetic
TXN90845006807,2024-06-19,ACC100000,SALARY CREDIT TCS Ref:97516,56705.73,CREDIT,Salary,NEFT,133843.03,2024-06-19 SALARY CREDIT TCS Ref:97516 56705.73,synthetic
TXN95372078051,2024-06-19,ACC100000,EMI HDFC cumque,-8511.69,DEBIT,EMI,ECS,125331.34,2024-06-19 EMI HDFC cumque -8511.69,synthetic
TXN97157001206,2024-06-19,ACC100000,TRANSFER FROM SELF Ref:561005,58667.75,CREDIT,Transfer,NEFT,,,
TXN96189092341,2024-06-20,ACC100000,UPI/anita405541/NEFT Transfer Ref:848672,-180936.53,DEBIT,Transfer,UPI,3062.56,2024-06-20 UPI/anita405541/NEFT Transfer Ref:848672 -180936.53,synthetic
TXN97162001216,2024-06-19,ACC100000,TRANSFER FROM SELF REF:443331,32178.05,CREDIT,Transfer,NEFT,,,
TXN96205092622,2024-06-20,ACC100000,IMPS IMPS Transfer Ref:660303,-32895.46,DEBIT,Transfer,IMPS,2345.15,2024-06-20 IMPS IMPS Transfer Ref:660303 -32895.46,synthetic
TXN96257093567,2024-06-20,ACC100000,POS HP Petrol Pump Khora ,-866.56,DEBIT,Fuel,POS,1478.59,2024-06-20 POS HP Petrol Pump Khora  -866.56,synthetic
TXN90642002714,2024-06-21,ACC100000,SALARY CREDIT HCL Ref:41471,120828.43,CREDIT,Salary,NEFT,122307.02,2024-06-21 SALARY CREDIT HCL Ref:41471 120828.43,synthetic
TXN92776036144,2024-06-21,ACC100000,UPI/jsarraf1026/DMart Ref:703735,-1033.22,DEBIT,Groceries,UPI,121273.8,2024-06-21 UPI/jsarraf1026/DMart Ref:703735 -1033.22,synthetic
TXN94621065882,2024-06-21,ACC100000,Airtel ut,-1130.27,DEBIT,Bills,ECS,120143.53,2024-06-21 Airtel ut -1130.27,synthetic
TXN94683067033,2024-06-21,ACC100000,Electricity Board autem,-5901.7,DEBIT,Bills,ECS,114241.83,2024-06-21 Electricity Board autem -5901.7,synthetic
TXN94502063638,2024-06-23,ACC100000,BSNL maiores,-7871.47,DEBIT,Bills,ECS,106370.36,2024-06-23 BSNL maiores -7871.47,synthetic
TXN93175042007,2024-06-24,ACC100000,POS DMart Avadi,-1454.75,DEBIT,Groceries,POS,104915.61,2024-06-24 POS DMart Avadi -1454.75,synthetic
TXN90861007271,2024-06-25,ACC100000,SALARY CREDIT Company Payroll Ref:72446,186566.51,CREDIT,Salary,CREDIT,291482.12,2024-06-25 SALARY CREDIT Company Payroll Ref:72446 186566.51,synthetic
TXN90880007486,2024-06-25,ACC100000,SALARY CREDIT WIPRO Ref:31101,154106.56,CREDIT,Salary,NEFT,445588.68,2024-06-25 SALARY CREDIT WIPRO Ref:31101 154106.56,synthetic
TXN91486017537,2024-06-25,ACC100000,POS Swiggy Raiganj,-932.27,DEBIT,Food & Dining,POS,444656.41,2024-06-25 POS Swiggy Raiganj -932.27,synthetic
TXN95348077552,2024-06-25,ACC100000,NEFT EMI Loan Ref:756639,-17784.92,DEBIT,EMI,NEFT,426871.49,2024-06-25 NEFT EMI Loan Ref:756639 -17784.92,synthetic
TXN95380078211,2024-06-25,ACC100000,EMI HDFC quasi,-1882.14,DEBIT,EMI,ECS,424989.35,2024-06-25 EMI HDFC quasi -1882.14,synthetic
