description,amount,type,mode,category
SALARY CREDIT WIPRO,48532.9,CREDIT,NEFT,Salary
UPI/NETRA919857/CAFE COFFEE DAY,1436.79,DEBIT,UPI,Food & Dining
ICICI DIRECT 9509,4077.0,DEBIT,NETBANKING,Investments
NEFT HOUSE RENT,14331.61,DEBIT,NEFT,Rent
UPI/BAHUJA816/MORE SUPERMARKET,2225.82,DEBIT,UPI,Groceries
TRANSFER FROM SELF,6765.4,CREDIT,NEFT,Transfer
SALARY CREDIT TCS,43812.75,CREDIT,NEFT,Salary
POS HOTSTAR SUBSCRIPTION 3426,1358.0,DEBIT,NEFT,Entertainment
UPI/RHORA4647/SWIGGY,868.43,DEBIT,UPI,Food & Dining
POS SPENCER'S MADANAPALLE,2193.58,DEBIT,POS,Groceries
UPI/GBORAH8744/IMPS TRANSFER,127143.24,DEBIT,UPI,Transfer
NETBANKING BESCOM,7059.74,DEBIT,NETBANKING,Bills
POS ANGEL BROKING 4540,2641.0,DEBIT,UPI,Investments
TRANSFER FROM SELF,7924.11,CREDIT,NEFT,Transfer
UPI/MADHAVISOOD9283/AIRTEL,5621.92,DEBIT,UPI,Bills
TRANSFER FROM SELF,12693.87,CREDIT,NEFT,Transfer
NEFT HOUSE RENT,28025.95,DEBIT,NEFT,Rent
POS AJIO DHARMAVARAM,20108.85,DEBIT,POS,Shopping
ACCOMM RENT VEL,22354.88,DEBIT,ECS,Rent
P0S HP PETROL PUMP BHALSWA JAHANGIR PUR,1469.95,DEBIT,POS,Fuel
UPI/RACHANA73288/CAFE COFFEE DAY,285.26,DEBIT,UPI,Food & Dining
NIFTY ETF PAYMENT 7122,3775.0,DEBIT,ECS,Investments
TRANSFER FROM SELF,5001.74,CREDIT,NEFT,Transfer
NETBANKING AJIO,37391.46,DEBIT,NETBANKING,Shopping
ICICI DIRECT PAYMENT 9094,2264.0,DEBIT,ECS,Investments
NEFT ACCOMM RENT,11474.74,DEBIT,NEFT,Rent
TRANSFER FROM SELF,133816.38,CREDIT,NEFT,Transfer
EMI SBI SED,6745.79,DEBIT,ECS,EMI
UPI/HEALTHKART8077,593.0,DEBIT,NETBANKING,Healthcare
POS DR CONSULTATION 8703,679.0,DEBIT,ECS,Healthcare
UPI/HARITABEHL5302/DMART,2653.77,DEBIT,UPI,Groceries
UPI/BARADANSH8973/AJIO,8070.11,DEBIT,UPI,Shopping
POS OLA RAURKELA INDUSTRIAL TOWNSHIP,1695.4,DEBIT,POS,Travel
UPI/ELIJAHMANDAL7016/RELIANCE FRESH,469.66,DEBIT,UPI,Groceries
NETBANKING RELIANCE FRESH,1106.98,DEBIT,NETBANKING,Groceries
TRANSFER FROM SELF,1748.09,CREDIT,NEFT,Transfer
UPI/SHENOYBAGHYAWATI6648/DMART,2727.89,DEBIT,UPI,Groceries
HOUSE RENT QUIA,27124.99,DEBIT,ECS,Rent
POS GROWW SIP 5839,4075.0,DEBIT,ECS,Investments
UPI/PSAHA6006/CAFE COFFEE DAY,1517.27,DEBIT,UPI,Food & Dining
AIRTEL QUAM,2491.11,DEBIT,ECS,Bills
NEFT ACCOMM RENT,30659.4,DEBIT,NEFT,Rent
PRACTO CONSULTATION 9267,4310.0,DEBIT,NETBANKING,Healthcare
POS MORE SUPERMARKET NELLORE,2177.13,DEBIT,POS,Groceries
UPI/YAGNESHPRASAD1942/ZOMATO,1778.93,DEBIT,UPI,Food & Dining
NETBANKING OLA,12867.69,DEBIT,NETBANKING,Travel
IMPS APARTMENT RENT,15169.8,DEBIT,IMPS,Rent
TRANSFER FROM SELF,33201.07,CREDIT,NEFT,Transfer
UPI/DEEPAMANDER1946/SWIGGY,1759.93,DEBIT,UPI,Food & Dining
UPI/SOMANRADHIKA1584/BIGBASKET,1756.97,DEBIT,UPI,Groceries
NETBANKING OLA,7255.66,DEBIT,NETBANKING,Travel
TRANSFER FROM SELF,5521.34,CREDIT,NEFT,Transfer
POS ZOMATO PATIALA,1721.06,DEBIT,POS,Food & Dining
UPI/ZEE57559,409.0,DEBIT,ECS,Entertainment
UPI/KARPEJACKSON2518/AMAZON,30352.04,DEBIT,UPI,Shopping
IMPS HOUSE RENT,9766.23,DEBIT,IMPS,Rent
TRANSFER FROM SELF,62489.13,CREDIT,NEFT,Transfer
UPI/ONKARRAMASWAMY9868/GOAIR,15787.55,DEBIT,UPI,Travel
RENT PAYMENT APARTMENT RENT,21540.48,DEBIT,ECS,Rent
NEFT APARTMENT RENT,15998.38,DEBIT,NEFT,Rent
UPI/NIFTYETF5031,3309.0,DEBIT,ECS,Investments
UPI/KASHYAPADVAY7685/JIO,355.75,DEBIT,UPI,Bills
NETBANKING AJIO,44080.33,DEBIT,NETBANKING,Shopping
POS MYNTRA MIRYALAGUDA,7436.53,DEBIT,POS,Shopping
UPI/DAKSHKHALSA2324/DOMINOS,1932.2,DEBIT,UPI,Food & Dining
NEFT NEFT TRANSFER,55715.72,DEBIT,NEFT,Transfer
SALARY CREDIT INFOSYS,116248.33,CREDIT,CREDIT,Salary
UPI/DGOLLA3888/BSNL,9004.95,DEBIT,UPI,Bills
UPI/JAIDUBEY24/ELECTRICITY BOARD,7611.23,DEBIT,UPI,Bills
POS DOMINOS MATHURA,1262.48,DEBIT,POS,Food & Dining
SPOTIFY MUSIC PAYMENT 8822,4938.0,DEBIT,UPI,Entertainment
TRANSFER FROM SELF,78474.27,CREDIT,NEFT,Transfer
NETBANKING OLA,4497.97,DEBIT,NETBANKING,Travel
TRANSFER FROM SELF,3796.16,CREDIT,NEFT,Transfer
UPI/JANYASAMPATH7321/AMAZON,40495.88,DEBIT,UPI,Shopping
NEFT EMI HDFC,14921.63,DEBIT,NEFT,EMI
POS FLIPKART KORBA,49398.18,DEBIT,POS,Shopping
NETBANKING DMART,2892.57,DEBIT,NETBANKING,Groceries
EMI HDFC DELENITI,18883.93,DEBIT,ECS,EMI
TRANSFER FROM SELF,108990.66,CREDIT,NEFT,Transfer
UPI/ETASANE9925/UBER,18830.38,DEBIT,UPI,Travel
TRANSFER FROM SELF,5619.83,CREDIT,NEFT,Transfer
UPI/ABAHL9141/SWIGGY,1685.63,DEBIT,UPI,Food & Dining
POS HP PETROL PUMP CHINSURAH,4544.77,DEBIT,POS,Fuel
UPI/UMISHRA7422/ZOMATO,474.07,DEBIT,UPI,Food & Dining
UPI/BADALNIDHI3812/FLIPKART,6781.49,DEBIT,UPI,Shopping
SALARY CREDIT INFOSYS,146667.22,CREDIT,NEFT,Salary
POS MYNTRA PANVEL,38203.96,DEBIT,POS,Shopping
PVR CINEMAS 6823,2425.0,DEBIT,ECS,Entertainment
UPI/BHATTARA4059/SWIGGY,78.9,DEBIT,UPI,Food & Dining
POS FLIPKART SAMBALPUR,25625.47,DEBIT,POS,Shopping
UPI/BATHLAKSHMI5083/ELECTRICITY BOARD,7977.55,DEBIT,UPI,Bills
POS ZOMATO KOLLAM,1776.51,DEBIT,POS,Food & Dining
UPI/NAZARETHDHRUV9006/BESCOM,2751.1,DEBIT,UPI,Bills
NETBANKING BSNL,7772.64,DEBIT,NETBANKING,Bills
AIRTEL ELIGENDI,3852.3,DEBIT,ECS,Bills
UPI/YSARAN3183/MCDONALDS,1045.35,DEBIT,UPI,Food & Dining
POS DOMINOS MUZAFFARPUR,570.77,DEBIT,POS,Food & Dining
POS PPF DEPOSIT 4489,3572.0,DEBIT,UPI,Investments
POS UBER JALGAON,19615.66,DEBIT,POS,Travel
UPI/DMEMON1378/UPI TRANSFER,39443.56,DEBIT,UPI,Transfer
YOUTUBE PREMIUM PAYMENT 2072,4559.0,DEBIT,ECS,Entertainment
NETBANKING AMAZON,45830.81,DEBIT,NETBANKING,Shopping
POS BHARAT PETROLEUM BHATPARA,2438.24,DEBIT,POS,Fuel
NEFT APARTMENT RENT,15317.7,DEBIT,NEFT,Rent
NIFTY ETF 2023,4781.0,DEBIT,UPI,Investments
POS AMAZON BILASPUR,38307.09,DEBIT,POS,Shopping
UPI/EVALA8690/SWIGGY,46.03,DEBIT,UPI,Food & Dining
UPI/JHAVERILAKSHIT907/NEFT TRANSFER,71469.09,DEBIT,UPI,Transfer
POS AJIO BHIWANI,36124.33,DEBIT,POS,Shopping
BOOKMYSHOW 8470,1980.0,DEBIT,NEFT,Entertainment
TRANSFER FROM SELF,10662.63,CREDIT,NEFT,Transfer
POS AJIO TIRUPATI,29164.49,DEBIT,POS,Shopping
UPI/CHAUDHURITANVEER9505/AMAZON,36959.08,DEBIT,UPI,Shopping
TRANSFER FROM SELF,46852.52,CREDIT,NEFT,Transfer
UPI/BADAMINIKITA7649/DOMINOS,89.56,DEBIT,UPI,Food & Dining
UPI/AMRUTACHERIAN2785/IRCTC,2158.26,DEBIT,UPI,Travel
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,3449.17,DEBIT,ATM,Cash
SALARY CREDIT HCL,134762.15,CREDIT,NEFT,Salary
POS FLIPKART PURNIA,12069.06,DEBIT,POS,Shopping
BSNL OFFICIA,7719.74,DEBIT,ECS,Bills
UPI/PVRCINEMAS3139,4832.0,DEBIT,UPI,Entertainment
UPI/YASHAWINIAHUJA1936/SWIGGY,237.2,DEBIT,UPI,Food & Dining
POS SPOTIFY MUSIC 7820,2658.0,DEBIT,NETBANKING,Entertainment
POS INDIANOIL RANCHI,5648.28,DEBIT,POS,Fuel
POS DOMINOS ADONI,651.8,DEBIT,POS,Food & Dining
POS IRCTC GWALIOR,17281.14,DEBIT,POS,Travel
UPI/GANGULYAARNAV1268/MCDONALDS,1627.69,DEBIT,UPI,Food & Dining
POS BHARAT PETROLEUM RAJKOT,5357.7,DEBIT,POS,Fuel
EMI HDFC FUGIT,9379.15,DEBIT,ECS,EMI
UPI/HEMANGINI17544/DMART,2883.51,DEBIT,UPI,Groceries
TRANSFER FROM SELF,29805.32,CREDIT,NEFT,Transfer
UPI/FARIQ397133/AJIO,5891.3,DEBIT,UPI,Shopping
POS MCDONALDS KARAWAL NAGAR,1730.71,DEBIT,POS,Food & Dining
POS NETMEDS 9089,3457.0,DEBIT,NETBANKING,Healthcare
NETBANKING GOAIR,5095.11,DEBIT,NETBANKING,Travel
POS APPLE MUSIC 1813,1468.0,DEBIT,UPI,Entertainment
SALARY CREDIT COMPANY PAYROLL,163415.36,CREDIT,NEFT,Salary
UPI/CHAKRIKABHARGAVA4656/NEFT TRANSFER,205143.44,CREDIT,UPI,Transfer
UP/IWDAYAL3100/RELIANCE FRESH,2392.26,DEBIT,UPI,Groceries
UPI/UPKAAR482281/IRCTC,9090.83,DEBIT,UPI,Travel
TRANSFER FROM SELF,16909.16,CREDIT,NEFT,Transfer
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,624.82,DEBIT,ATM,Cash
UPI/GALABRIJESH9038/BIGBASKET,867.87,DEBIT,UPI,Groceries
SALARY CREDIT HCL,103059.4,CREDIT,NEFT,Salary
MEI LOAN ACCUSANTIUM,5183.7,DEBIT,ECS,EMI
UPI/OMAJATIWARI6999/MORE SUPERMARKET,2201.61,DEBIT,UPI,Groceries
1MG MEDICINES 5137,640.0,DEBIT,NEFT,Healthcare
POS INDIGO BHUBANESWAR,9983.86,DEBIT,POS,Travel
PVR CINEMAS 7554,864.0,DEBIT,NETBANKING,Entertainment
POS BHARAT PETROLEUM ANANTAPUR,1752.27,DEBIT,POS,Fuel
TRANSFER FROM SELF,145908.65,CREDIT,NEFT,Transfer
POS AJIO IMPHAL,10159.96,DEBIT,POS,Shopping
TRANSFER FROM SELF,21895.24,CREDIT,NEFT,Transfer
JIO DEBITIS,7538.28,DEBIT,ECS,Bills
POS HP PETROL PUMP KARAWAL NAGAR,4588.87,DEBIT,POS,Fuel
TRANSFER FROM SELF,12747.76,CREDIT,NEFT,Transfer
POS RELIANCE FRESH ALWAR,2038.78,DEBIT,POS,Groceries
TRANSFER FROM SELF,8088.95,CREDIT,NEFT,Transfer
SALARY CREDIT INFOSYS,170766.76,CREDIT,NEFT,Salary
TRANSFER FROM SELF,61733.95,CREDIT,NEFT,Transfer
POS AJIOT IRUPPUR,44334.62,DEBIT,POS,Shopping
IMPS NEFT TARNSFER,98136.94,DEBIT,IMPS,Transfer
EMI HDFC MODI,10673.94,DEBIT,ECS,EMI
IMPS UPI TRANSFER,98735.07,CREDIT,IMPS,Transfer
NETBANKING GOAIR,13593.36,DEBIT,NETBANKING,Travel
EMI SBI COMMODI,10941.54,DEBIT,ECS,EMI
NETBANKING RELIANCE FRESH,158.73,DEBIT,NETBANKING,Groceries
TRANSFER FROM SELF,11055.6,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,7365.05,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,3860.36,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,16009.87,CREDIT,NEFT,Transfer
UPI/LIPIKA293641/MORE SUPERMARKET,1442.82,DEBIT,UPI,Groceries
UPI/WSRIDHAR1719/ZOMATO,134.64,DEBIT,UPI,Food & Dining
TRNASFER FROM SELF,53109.97,CREDIT,NEFT,Transfer
ZEE5 PAYMENT 2574,1272.0,DEBIT,NEFT,Entertainment
SALARY CREDIT HCL,58786.9,CREDIT,NEFT,Salary
UPI/GARACHARITA9151/DOMINOS,50.81,DEBIT,UPI,Food & Dining
POS CAFE COFFEE DAY RAJKOT,1916.67,DEBIT,POS,Food & Dining
SALARY CREDIT HCL,47904.3,CREDIT,NEFT,Salary
NETBANKING BIGBASKET,1844.49,DEBIT,NETBANKING,Groceries
UPI/UTKARSH853368/SWIGGY,632.05,DEBIT,UPI,Food & Dining
IMPS IMPS TRANSFER,28881.63,DEBIT,IMPS,Transfer
UPI/LMAGAR9337/IRCTC,2961.5,DEBIT,UPI,Travel
SALARY CREDIT WIPRO,134989.33,CREDIT,NEFT,Salary
UPI/ADVAYCHHABRA811/DMART,352.66,DEBIT,UPI,Groceries
NETBANKING SPENCER'S,655.49,DEBIT,NETBANKING,Groceries
UPI/OBAKSHI9380/MCDONALDS,1936.42,DEBIT,UPI,Food & Dining
UPI/DASLAKSHMI3875/DOMINOS,377.07,DEBIT,UPI,Food & Dining
UPI/CHAUDHARIAZAAN3291/CAFE COFFEE DAY,86.47,DEBIT,UPI,Food & Dining
UPI/KOTAMEKHALA3485/MCDONALDS,1189.35,DEBIT,UPI,Food & Dining
POS CIPLA MED 2688,4329.0,DEBIT,NETBANKING,Healthcare
UPI/MANIPALHOSPITAL1176,4721.0,DEBIT,ECS,Healthcare
NETBANKING UBER,10840.09,DEBIT,NETBANKING,Travel
TRANSFER FROM SELF,6163.76,CREDIT,NEFT,Transfer
UPI/KRISHNANAISHANI7814/VENDOR PAYMENT,263.14,DEBIT,UPI,Other
UPI/LIAM653530/MCDONALDS,1608.02,DEBIT,UPI,Food & Dining
UPI/ZAYANVASA5301/NEFT TRANSFER,6196.83,DEBIT,UPI,Transfer
UPI/KVARGHESE4265/UPI TRANSFER,119253.43,DEBIT,UPI,Transfer
IMPS IMPS TRANSFER,145808.02,CREDIT,IMPS,Transfer
SALARY CREDIT COMPANY PAYROLL,177571.58,CREDIT,NEFT,Salary
NEFT NEFT TRANSFER,53446.13,DEBIT,NEFT,Transfer
UPI/NIDRA464586/OLA,8297.13,DEBIT,UPI,Travel
NEFT ACCOMM RENT,28844.29,DEBIT,NEFT,Rent
TRANSFER FROM SELF,4533.13,CREDIT,NEFT,Transfer
UPI/CBHAKTA150/RELIANCE FRESH,1447.48,DEBIT,UPI,Groceries
UPI/SACHDEVBAHADURJIT9101/ZOMATO,535.62,DEBIT,UPI,Food & Dining
JIO ESSE,3657.16,DEBIT,ECS,Bills
SALARY CREDIT INFOSYS,48278.81,CREDIT,NEFT,Salary
UPI/ANGELBROKING2347,94.0,DEBIT,NETBANKING,Investments
UPI/LICPREMIUM1015,2121.0,DEBIT,ECS,Investments
NEFT UPI TRANSFER,109895.24,DEBIT,NEFT,Transfer
POS INDIANOIL KAVALI,5126.33,DEBIT,POS,Fuel
UPI/NIRJA562246/IMPS TRANSFER,77459.19,CREDIT,UPI,Transfer
UPI/TIMOTHY392181/DOMINOS,982.21,DEBIT,UPI,Food & Dining
UPI/PRABHAKARJALSA229/UPI TRANSFER,119957.73,DEBIT,UPI,Transfer
UPI/MEKHALA328336/MORE SUPERMARKET,1273.53,DEBIT,UPI,Groceries
IMPS UPI TRANSFER,11727.22,DEBIT,IMPS,Transfer
SIP DEBIT PAYMENT 2026,3512.0,DEBIT,NEFT,Investments
POS FLIPKART BERHAMPORE,33295.27,DEBIT,POS,Shopping
POS DMART BERHAMPUR,815.56,DEBIT,POS,Groceries
NEFT ACCOMM RENT,33298.49,DEBIT,NEFT,Rent
UPI/RUSHIL786665/FLIPKART,27762.73,DEBIT,UPI,Shopping
POS AJIO UNNAO,3821.94,DEBIT,POS,Shopping
UPI/HEMANIDAS4439/CAFE COFFEE DAY,1193.36,DEBIT,UPI,Food & Dining
UPI/FORTISHOSPITAL9614,1683.0,DEBIT,UPI,Healthcare
UPI/KADAKIAYATAN6355/DOMINOS,1595.21,DEBIT,UPI,Food & Dining
UPI/HREDHAANSWAMINATHAN5409/SWIGGY,904.38,DEBIT,UPI,Food & Dining
EMI HDFC ISTE,19827.73,DEBIT,ECS,EMI
SALARY CREDIT HCL,174279.79,CREDIT,NEFT,Salary
UPI/MBHATIA8203/NEFT TRANSFER,31204.53,CREDIT,UPI,Transfer
POS AJIO JAMALPUR,17138.56,DEBIT,POS,Shopping
POS SPENCER'S JHANSI,401.43,DEBIT,POS,Groceries
TRANSFER FROM SELF,2899.45,CREDIT,NEFT,Transfer
UPI/HOTSTARSUBSCRIPTION3240,1571.0,DEBIT,UPI,Entertainment
NETBANKING JIO,5960.51,DEBIT,NETBANKING,Bills
UPI/ZCHEEMA2557/RELIANCE FRESH,2020.63,DEBIT,UPI,Groceries
POS CIPLA MED 9271,3032.0,DEBIT,NETBANKING,Healthcare
NETBANKING BIGBASKET,2414.68,DEBIT,NETBANKING,Groceries
BESCOM AD,3796.8,DEBIT,ECS,Bills
POS CAFE COFFEE DAY KORBA,951.56,DEBIT,POS,Food & Dining
JIO IPSUM,2318.16,DEBIT,ECS,Bills
UPI/NSULE2114/MCDONALDS,1631.54,DEBIT,UPI,Food & Dining
IMPS UPI TRANSFER,141623.7,DEBIT,IMPS,Transfer
UPI/HRAVI520/SPENCER'S,386.55,DEBIT,UPI,Groceries
EMI HDFC HIC,16293.51,DEBIT,ECS,EMI
UPI/GUNBIRMUKHERJEE2788/CAFE COFFEE DAY,340.19,DEBIT,UPI,Food & Dining
UPI/DASSLIAM2148/RELIANCE FRESH,534.55,DEBIT,UPI,Groceries
UPI/NEELIMA149716/OLA,16849.94,DEBIT,UPI,Travel
TRANSFER FROM SELF,50205.21,CREDIT,NEFT,Transfer
EMI LOAN AB,14320.47,DEBIT,ECS,EMI
TRANSFER FROM SELF,1356.6,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,15730.83,CREDIT,NEFT,Transfer
BESCOM REPREHENDERIT,8844.11,DEBIT,ECS,Bills
NIFTY ETF PAYMENT 1531,4011.0,DEBIT,NETBANKING,Investments
UPI/BUTALAFALGUNI7690/CAFE COFFEE DAY,500.06,DEBIT,UPI,Food & Dining
POS MORE SUPERMARKET MATHURA,2092.81,DEBIT,POS,Groceries
POS UPSTOX 7643,2433.0,DEBIT,NEFT,Investments
UPI/VYANJANASEKHON9518/MORE SUPERMARKET,2692.68,DEBIT,UPI,Groceries
UP1/CBEHL4383/AJIO,2550.9,DEBIT,UPI,Shopping
POS DMART THIRUVANANTHAPURAM,1958.03,DEBIT,POS,Groceries
RENT PAYMENT ACCOMM RENT,15562.42,DEBIT,ECS,Rent
UPI/AACHALGOSWAMI5178/INDIANOIL,4335.46,DEBIT,UPI,Fuel
TRANSFER FROM SELF,17933.88,CREDIT,NEFT,Transfer
NEFT EMI LOAN,10070.5,DEBIT,NEFT,EMI
UPI/UPUROHIT3488/DOMINOS,1927.96,DEBIT,UPI,Food & Dining
POS HP PETROL PUMP RATLAM,2653.02,DEBIT,POS,Fuel
POS DMART BARANAGAR,3063.81,DEBIT,POS,Groceries
POS HP PETROL PUMP ELURU,2174.57,DEBIT,POS,Fuel
NETBANKING MISCELLANEOUS,776.23,DEBIT,NETBANKING,Other
SALARY CREDIT WIPRO,46220.34,CREDIT,CREDIT,Salary
EMI SBI CULPA,4236.99,DEBIT,ECS,EMI
UPI/VEERPAREKH7965/MYNTRA,53366.09,DEBIT,UPI,Shopping
POS AJIO TIRUVOTTIYUR,6555.13,DEBIT,POS,Shopping
EMI HDFC VOLUPTATIBUS,9082.7,DEBIT,ECS,EMI
NETBANKING AMAZON,9188.2,DEBIT,NETBANKING,Shopping
POS INDIGO NOIDA,5827.82,DEBIT,POS,Travel
UPI/HOTSTARSUBSCRIPTION7072,4945.0,DEBIT,ECS,Entertainment
TRANSFER FROM SELF,3523.58,CREDIT,NEFT,Transfer
UPI/KALAPALLAVI4887/AMAZON,14408.28,DEBIT,UPI,Shopping
EMI HDFC EST,6254.31,DEBIT,ECS,EMI
POS AJIO KOZHIKODE,28340.56,DEBIT,POS,Shopping
UPI/MASON406861/DOMINOS,770.86,DEBIT,UPI,Food & Dining
NEFT EMI LOAN,6739.99,DEBIT,NEFT,EMI
UPSTOX PAYMENT 5922,2864.0,DEBIT,ECS,Investments
UPI/TRIPTI348884/DOMINOS,59.41,DEBIT,UPI,Food & Dining
UPI/CHATURASAWHNEY7407/RELIANCE FRESH,808.39,DEBIT,UPI,Groceries
POS BHARAT PETROLEUM HINDUPUR,4355.48,DEBIT,POS,Fuel
P0S BHARAT PETROLEUM NANGLOI JAT,2066.2,DEBIT,POS,Fuel
FORTIS HOSPITAL PAYMENT 2615,3867.0,DEBIT,ECS,Healthcare
UPI/BUMBVIVAAN6672/RELIANCE FRESH,625.23,DEBIT,UPI,Groceries
ELECTRICITY BOARD MOLESTIAS,6637.31,DEBIT,ECS,Bills
IMPS APARTMENT RENT,27837.76,DEBIT,IMPS,Rent
POS FLIPKART TINSUKIA,2784.79,DEBIT,POS,Shopping
UPI/SURLIPIKA9128/RELIANCE FRESH,1509.53,DEBIT,UPI,Groceries
SALARY CREDIT HCL,51368.29,CREDIT,NEFT,Salary
POS OLA RAEBARELI,6221.21,DEBIT,POS,Travel
POS MCDONALDS MEERUT,318.01,DEBIT,POS,Food & Dining
POS PVR CINEMAS 6007,3233.0,DEBIT,NETBANKING,Entertainment
NETBANKING DMART,1738.46,DEBIT,NETBANKING,Groceries
IMPS UPI TRANSFER,156169.69,DEBIT,IMPS,Transfer
POS DMART KARIMNAGAR,2048.0,DEBIT,POS,Groceries
UPI/PIYENGAR4866/BIGBASKET,1159.01,DEBIT,UPI,Groceries
UPI/SONYLIV6492,2807.0,DEBIT,UPI,Entertainment
MEDPLUS PHARMACY 9859,3968.0,DEBIT,ECS,Healthcare
UPI/RAJANWILLIAM1810/IRCTC,15956.43,DEBIT,UPI,Travel
UPI/RYAN717148/DOMINOS,182.08,DEBIT,UPI,Food & Dining
UPI/HSACHDEV5465/IMPS TRANSFER,5224.23,CREDIT,UPI,Transfer
SALARY CREDIT WIPRO,162947.73,CREDIT,NEFT,Salary
IMPS APARTMENT RENT,17937.94,DEBIT,IMPS,Rent
NEFT UPI TRANSFER,105395.74,DEBIT,NEFT,Transfer
UPI/ICICIDIRECT8317,2060.0,DEBIT,UPI,Investments
POS AJIO PANIHATI,42339.02,DEBIT,POS,Shopping
SALARY CREDIT HCL,141270.28,CREDIT,NEFT,Salary
EMI SBI VOLUPTAS,13862.22,DEBIT,ECS,EMI
BOOKMYSHOW PAYMENT 6833,2948.0,DEBIT,NEFT,Entertainment
POS RELIANCE FRESH KHORA,1830.87,DEBIT,POS,Groceries
SALARY CREDIT INFOSYS,34652.7,CREDIT,NEFT,Salary
POS DMART SRI GANGANAGAR,1414.83,DEBIT,POS,Groceries
SALARY CREDIT INFOSYS,40538.18,CREDIT,NEFT,Salary
EMI HDFC TENETUR,9259.28,DEBIT,ECS,EMI
TRANSFER FROM SELF,4443.07,CREDIT,NEFT,Transfer
UPI/KRISHNA811564/IMPS TRANSFER,40128.31,DEBIT,UPI,Transfer
AIRTEL DICTA,1025.74,DEBIT,ECS,Bills
UPI/URMI007407/SWIGGY,713.38,DEBIT,UPI,Food & Dining
SALARY CREDIT WIPRO,156597.88,CREDIT,NEFT,Salary
IMPS IMPS TRANSFER,70240.51,DEBIT,IMPS,Transfer
POS DMART PALLAVARAM,1364.64,DEBIT,POS,Groceries
NEFT APARTMENT RENT,25482.71,DEBIT,NEFT,Rent
TRANSFER FROM SELF,6026.88,CREDIT,NEFT,Transfer
POS OLA KHARAGPUR,2189.91,DEBIT,POS,Travel
NETBANKING JAIO,4568.02,DEBIT,NETBANKING,Shopping
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,843.53,DEBIT,ATM,Cash
NEFT HOUSE RENT,15480.97,DEBIT,NEFT,Rent
ATM CASH WITHDRAWAL ATM CASH WITHDRAWAL,5467.36,DEBIT,ATM,Cash
UPI/LADLIVIG8889/SWIGGY,473.42,DEBIT,UPI,Food & Dining
NEFT HOUSE RENT,28635.01,DEBIT,NEFT,Rent
POS AMAZON SHAHJAHANPUR,14265.89,DEBIT,POS,Shopping
SALARY CREDIT INFOSYS,24512.89,CREDIT,NEFT,Salary
SIP DEBIT 6716,4194.0,DEBIT,ECS,Investments
UPI/QARIN897921/AMAZON,37439.65,DEBIT,UPI,Shopping
POS 1MG MEDICINES 9555,784.0,DEBIT,NETBANKING,Healthcare
POS DOMINOS TIRUNELVELI,1194.8,DEBIT,POS,Food & Dining
UPI/HDIN2979/ZOMATO,1563.18,DEBIT,UPI,Food & Dining
SALARY CREDIT TCS,31794.52,CREDIT,CREDIT,Salary
TRANSFER FROM SELF,11848.27,CREDIT,NEFT,Transfer
POS HP PETROL PUMP ULUBERIA,1939.02,DEBIT,POS,Fuel
AIRTEL NATUS,4134.66,DEBIT,ECS,Bills
POS AJIO GUNA,2417.43,DEBIT,POS,Shopping
POS MCDONALDS THOOTHUKUDI,1005.3,DEBIT,POS,Food & Dining
UPI/DPATIL4470/NEFT TRANSFER,183137.7,DEBIT,UPI,Transfer
P0S MYNTRA BURHANPUR,7463.28,DEBIT,POS,Shopping
UPI/HKUMAR1129/MYNTRA,6572.53,DEBIT,UPI,Shopping
UPI/MANIPALHOSPITAL5207,2973.0,DEBIT,UPI,Healthcare
UPI/KEYARAJAN603/MCDONALDS,1733.05,DEBIT,UPI,Food & Dining
NETBANKING MYNTRA,22695.7,DEBIT,NETBANKING,Shopping
SPOTIFY MUSIC PAYMENT 6408,4100.0,DEBIT,UPI,Entertainment
POS UBER AGARTALA,10793.73,DEBIT,POS,Travel
MANIPAL HOSPITAL 3049,783.0,DEBIT,ECS,Healthcare
DR CONSULTATION 3229,3967.0,DEBIT,NEFT,Healthcare
SPOTIFY MUSIC PAYMENT 8321,2619.0,DEBIT,NETBANKING,Entertainment
AIRTEL FUGIT,8978.65,DEBIT,ECS,Bills
POS MYNTRA KUMBAKONAM,33983.73,DEBIT,POS,Shopping
UPI/ABHIRAMAPTE6621/AJIO,7346.71,DEBIT,UPI,Shopping
UPI/CHANDBACHITTAR9586/RELIANCE FRESH,147.69,DEBIT,UPI,Groceries
POS SPENCER'S SAGAR,2481.27,DEBIT,POS,Groceries
NETBANKING AIRTEL,4128.54,DEBIT,NETBANKING,Bills
APOLLO PHARMACY PAYMENT 5563,1553.0,DEBIT,NETBANKING,Healthcare
TRANSFER FROM SELF,5903.68,CREDIT,NEFT,Transfer
TRANSFER FROM SELF,16643.13,CREDIT,NEFT,Transfer
POS MCDONALDS AMARAVATI,1864.9,DEBIT,POS,Food & Dining
POS HUNGAMA 4614,3366.0,DEBIT,ECS,Entertainment
